Samples,Jn Estimate,Jn Error Rate,Kn Estimate,Kn Error Rate
668,0.998368,0.00163156,3.01555,-0.0155505
669,0.998371,0.00162912,3.01553,-0.0155273
670,0.998373,0.00162669,3.0155,-0.0155041
671,0.998376,0.00162427,3.01548,-0.015481
672,0.998378,0.00162185,3.01546,-0.0154579
673,0.998381,0.00161944,3.01543,-0.015435
674,0.998383,0.00161704,3.01541,-0.0154121
675,0.998385,0.00161464,3.01539,-0.0153892
676,0.998388,0.00161225,3.01537,-0.0153665
677,0.99839,0.00160987,3.01534,-0.0153438
678,0.998393,0.0016075,3.01532,-0.0153211
679,0.998395,0.00160513,3.0153,-0.0152986
680,0.998397,0.00160277,3.01528,-0.0152761
681,0.9984,0.00160042,3.01525,-0.0152536
682,0.998402,0.00159807,3.01523,-0.0152313
683,0.998404,0.00159573,3.01521,-0.015209
684,0.998407,0.0015934,3.01519,-0.0151867
685,0.998409,0.00159107,3.01516,-0.0151646
686,0.998411,0.00158875,3.01514,-0.0151425
687,0.998414,0.00158644,3.01512,-0.0151204
688,0.998416,0.00158413,3.0151,-0.0150984
689,0.998418,0.00158183,3.01508,-0.0150765
690,0.99842,0.00157954,3.01505,-0.0150547
691,0.998423,0.00157726,3.01503,-0.0150329
692,0.998425,0.00157498,3.01501,-0.0150112
693,0.998427,0.0015727,3.01499,-0.0149895
694,0.99843,0.00157044,3.01497,-0.0149679
695,0.998432,0.00156818,3.01495,-0.0149464
696,0.998434,0.00156592,3.01492,-0.0149249
697,0.998436,0.00156368,3.0149,-0.0149035
698,0.998439,0.00156144,3.01488,-0.0148821
699,0.998441,0.0015592,3.01486,-0.0148608
700,0.998443,0.00155698,3.01484,-0.0148396
701,0.998445,0.00155476,3.01482,-0.0148185
702,0.998447,0.00155254,3.0148,-0.0147973
703,0.99845,0.00155033,3.01478,-0.0147763
704,0.998452,0.00154813,3.01476,-0.0147553
705,0.998454,0.00154593,3.01473,-0.0147344
706,0.998456,0.00154374,3.01471,-0.0147135
707,0.998458,0.00154156,3.01469,-0.0146927
708,0.998461,0.00153938,3.01467,-0.0146719
709,0.998463,0.00153721,3.01465,-0.0146512
710,0.998465,0.00153505,3.01463,-0.0146306
711,0.998467,0.00153289,3.01461,-0.01461
712,0.998469,0.00153074,3.01459,-0.0145895
713,0.998471,0.00152859,3.01457,-0.0145691
714,0.998474,0.00152645,3.01455,-0.0145486
715,0.998476,0.00152431,3.01453,-0.0145283
716,0.998478,0.00152218,3.01451,-0.014508
717,0.99848,0.00152006,3.01449,-0.0144878
718,0.998482,0.00151794,3.01447,-0.0144676
719,0.998484,0.00151583,3.01445,-0.0144475
720,0.998486,0.00151373,3.01443,-0.0144274
721,0.998488,0.00151163,3.01441,-0.0144074
722,0.99849,0.00150953,3.01439,-0.0143874
723,0.998493,0.00150745,3.01437,-0.0143675
724,0.998495,0.00150536,3.01435,-0.0143477
725,0.998497,0.00150329,3.01433,-0.0143279
726,0.998499,0.00150122,3.01431,-0.0143082
727,0.998501,0.00149915,3.01429,-0.0142885
728,0.998503,0.00149709,3.01427,-0.0142689
729,0.998505,0.00149504,3.01425,-0.0142493
730,0.998507,0.00149299,3.01423,-0.0142298
731,0.998509,0.00149095,3.01421,-0.0142103
732,0.998511,0.00148891,3.01419,-0.0141909
733,0.998513,0.00148688,3.01417,-0.0141715
734,0.998515,0.00148486,3.01415,-0.0141522
735,0.998517,0.00148283,3.01413,-0.014133
736,0.998519,0.00148082,3.01411,-0.0141138
737,0.998521,0.00147881,3.01409,-0.0140946
738,0.998523,0.00147681,3.01408,-0.0140755
739,0.998525,0.00147481,3.01406,-0.0140565
740,0.998527,0.00147282,3.01404,-0.0140375
741,0.998529,0.00147083,3.01402,-0.0140185
742,0.998531,0.00146885,3.014,-0.0139996
743,0.998533,0.00146687,3.01398,-0.0139808
744,0.998535,0.0014649,3.01396,-0.013962
745,0.998537,0.00146293,3.01394,-0.0139433
746,0.998539,0.00146097,3.01392,-0.0139246
747,0.998541,0.00145901,3.01391,-0.0139059
748,0.998543,0.00145706,3.01389,-0.0138873
749,0.998545,0.00145512,3.01387,-0.0138688
750,0.998547,0.00145318,3.01385,-0.0138503
751,0.998549,0.00145124,3.01383,-0.0138319
752,0.998551,0.00144931,3.01381,-0.0138135
753,0.998553,0.00144739,3.0138,-0.0137951
754,0.998555,0.00144547,3.01378,-0.0137768
755,0.998556,0.00144355,3.01376,-0.0137586
756,0.998558,0.00144165,3.01374,-0.0137404
757,0.99856,0.00143974,3.01372,-0.0137222
758,0.998562,0.00143784,3.0137,-0.0137041
759,0.998564,0.00143595,3.01369,-0.0136861
760,0.998566,0.00143406,3.01367,-0.0136681
761,0.998568,0.00143217,3.01365,-0.0136501
762,0.99857,0.00143029,3.01363,-0.0136322
763,0.998572,0.00142842,3.01361,-0.0136143
764,0.998573,0.00142655,3.0136,-0.0135965
765,0.998575,0.00142468,3.01358,-0.0135787
766,0.998577,0.00142282,3.01356,-0.013561
767,0.998579,0.00142097,3.01354,-0.0135433
768,0.998581,0.00141912,3.01353,-0.0135257
769,0.998583,0.00141727,3.01351,-0.0135081
770,0.998585,0.00141543,3.01349,-0.0134906
771,0.998586,0.0014136,3.01347,-0.0134731
772,0.998588,0.00141177,3.01346,-0.0134556
773,0.99859,0.00140994,3.01344,-0.0134382
774,0.998592,0.00140812,3.01342,-0.0134208
775,0.998594,0.0014063,3.0134,-0.0134035
776,0.998596,0.00140449,3.01339,-0.0133863
777,0.998597,0.00140268,3.01337,-0.013369
778,0.998599,0.00140088,3.01335,-0.0133518
779,0.998601,0.00139908,3.01333,-0.0133347
780,0.998603,0.00139729,3.01332,-0.0133176
781,0.998605,0.0013955,3.0133,-0.0133006
782,0.998606,0.00139371,3.01328,-0.0132835
783,0.998608,0.00139193,3.01327,-0.0132666
784,0.99861,0.00139016,3.01325,-0.0132497
785,0.998612,0.00138839,3.01323,-0.0132328
786,0.998613,0.00138662,3.01322,-0.0132159
787,0.998615,0.00138486,3.0132,-0.0131992
788,0.998617,0.0013831,3.01318,-0.0131824
789,0.998619,0.00138135,3.01317,-0.0131657
790,0.99862,0.0013796,3.01315,-0.013149
791,0.998622,0.00137786,3.01313,-0.0131324
792,0.998624,0.00137612,3.01312,-0.0131158
793,0.998626,0.00137438,3.0131,-0.0130993
794,0.998627,0.00137265,3.01308,-0.0130828
795,0.998629,0.00137092,3.01307,-0.0130663
796,0.998631,0.0013692,3.01305,-0.0130499
797,0.998633,0.00136748,3.01303,-0.0130335
798,0.998634,0.00136577,3.01302,-0.0130172
799,0.998636,0.00136406,3.013,-0.0130009
800,0.998638,0.00136235,3.01298,-0.0129847
801,0.998639,0.00136065,3.01297,-0.0129685
802,0.998641,0.00135896,3.01295,-0.0129523
803,0.998643,0.00135726,3.01294,-0.0129362
804,0.998644,0.00135558,3.01292,-0.0129201
805,0.998646,0.00135389,3.0129,-0.012904
806,0.998648,0.00135221,3.01289,-0.012888
807,0.998649,0.00135054,3.01287,-0.012872
808,0.998651,0.00134887,3.01286,-0.0128561
809,0.998653,0.0013472,3.01284,-0.0128402
810,0.998654,0.00134554,3.01282,-0.0128244
811,0.998656,0.00134388,3.01281,-0.0128085
812,0.998658,0.00134222,3.01279,-0.0127928
813,0.998659,0.00134057,3.01278,-0.012777
814,0.998661,0.00133892,3.01276,-0.0127613
815,0.998663,0.00133728,3.01275,-0.0127457
816,0.998664,0.00133564,3.01273,-0.0127301
817,0.998666,0.00133401,3.01271,-0.0127145
818,0.998668,0.00133238,3.0127,-0.0126989
819,0.998669,0.00133075,3.01268,-0.0126834
820,0.998671,0.00132913,3.01267,-0.012668
821,0.998672,0.00132751,3.01265,-0.0126525
822,0.998674,0.00132589,3.01264,-0.0126371
823,0.998676,0.00132428,3.01262,-0.0126218
824,0.998677,0.00132267,3.01261,-0.0126065
825,0.998679,0.00132107,3.01259,-0.0125912
826,0.998681,0.00131947,3.01258,-0.0125759
827,0.998682,0.00131788,3.01256,-0.0125607
